Row ID,Pokemon ID,Name,Variation,Variation Sort,Family,Special,National,GO,GO Regional,Has Shiny,Region,Region Sort,Box,Slot,Row,Column,Obtained,Icon URL,Icon
1,bulbasaur,Bulbasaur,,,Bulbasaur,Starter,0001,TRUE,FALSE,TRUE,Kanto,1,1,1,1,1,TRUE,https://pokejungle.net/sprites/shiny/0001.png,
2,ivysaur,Ivysaur,,,Bulbasaur,Starter,0002,TRUE,FALSE,TRUE,Kanto,1,1,2,1,2,TRUE,https://pokejungle.net/sprites/shiny/0002.png,
3,venusaur-male,Venusaur,Male,1,Bulbasaur,Starter,0003,TRUE,FALSE,TRUE,Kanto,1,1,3,1,3,TRUE,https://pokejungle.net/sprites/shiny/0003.png,
4,venusaur-female,Venusaur,Female,2,Bulbasaur,Starter,0003,TRUE,FALSE,TRUE,Kanto,1,1,4,1,4,TRUE,https://pokejungle.net/sprites/shiny/0003-f.png,
5,charmander,Charmander,,,Charmander,Starter,0004,TRUE,FALSE,TRUE,Kanto,1,1,5,1,5,TRUE,https://pokejungle.net/sprites/shiny/0004.png,
6,charmeleon,Charmeleon,,,Charmander,Starter,0005,TRUE,FALSE,TRUE,Kanto,1,1,6,1,6,TRUE,https://pokejungle.net/sprites/shiny/0005.png,
7,charizard,Charizard,,,Charmander,Starter,0006,TRUE,FALSE,TRUE,Kanto,1,1,7,2,1,TRUE,https://pokejungle.net/sprites/shiny/0006.png,
8,squirtle,Squirtle,,,Squirtle,Starter,0007,TRUE,FALSE,TRUE,Kanto,1,1,8,2,2,TRUE,https://pokejungle.net/sprites/shiny/0007.png,
9,wartortle,Wartortle,,,Squirtle,Starter,0008,TRUE,FALSE,TRUE,Kanto,1,1,9,2,3,TRUE,https://pokejungle.net/sprites/shiny/0008.png,
10,blastoise,Blastoise,,,Squirtle,Starter,0009,TRUE,FALSE,TRUE,Kanto,1,1,10,2,4,TRUE,https://pokejungle.net/sprites/shiny/0009.png,
11,caterpie,Caterpie,,,Caterpie,,0010,TRUE,FALSE,TRUE,Kanto,1,1,11,2,5,TRUE,https://pokejungle.net/sprites/shiny/0010.png,
12,metapod,Metapod,,,Caterpie,,0011,TRUE,FALSE,TRUE,Kanto,1,1,12,2,6,TRUE,https://pokejungle.net/sprites/shiny/0011.png,
13,butterfree-male,Butterfree,Male,1,Caterpie,,0012,TRUE,FALSE,TRUE,Kanto,1,1,13,3,1,TRUE,https://pokejungle.net/sprites/shiny/0012.png,
14,butterfree-female,Butterfree,Female,2,Caterpie,,0012,TRUE,FALSE,TRUE,Kanto,1,1,14,3,2,TRUE,https://pokejungle.net/sprites/shiny/0012-f.png,
15,weedle,Weedle,,,Weedle,,0013,TRUE,FALSE,TRUE,Kanto,1,1,15,3,3,TRUE,https://pokejungle.net/sprites/shiny/0013.png,
16,kakuna,Kakuna,,,Weedle,,0014,TRUE,FALSE,TRUE,Kanto,1,1,16,3,4,TRUE,https://pokejungle.net/sprites/shiny/0014.png,
17,beedrill,Beedrill,,,Weedle,,0015,TRUE,FALSE,TRUE,Kanto,1,1,17,3,5,TRUE,https://pokejungle.net/sprites/shiny/0015.png,
18,pidgey,Pidgey,,,Pidgey,,0016,TRUE,FALSE,TRUE,Kanto,1,1,18,3,6,TRUE,https://pokejungle.net/sprites/shiny/0016.png,
19,pidgeotto,Pidgeotto,,,Pidgey,,0017,TRUE,FALSE,TRUE,Kanto,1,1,19,4,1,TRUE,https://pokejungle.net/sprites/shiny/0017.png,
20,pidgeot,Pidgeot,,,Pidgey,,0018,TRUE,FALSE,TRUE,Kanto,1,1,20,4,2,TRUE,https://pokejungle.net/sprites/shiny/0018.png,
21,rattata-male,Rattata,Male,1,Rattata,,0019,TRUE,FALSE,TRUE,Kanto,1,1,21,4,3,TRUE,https://pokejungle.net/sprites/shiny/0019.png,
22,rattata-female,Rattata,Female,2,Rattata,,0019,TRUE,FALSE,TRUE,Kanto,1,1,22,4,4,TRUE,https://pokejungle.net/sprites/shiny/0019-f.png,
23,raticate-male,Raticate,Male,1,Rattata,,0020,TRUE,FALSE,TRUE,Kanto,1,1,23,4,5,TRUE,https://pokejungle.net/sprites/shiny/0020.png,
24,raticate-female,Raticate,Female,2,Rattata,,0020,TRUE,FALSE,TRUE,Kanto,1,1,24,4,6,TRUE,https://pokejungle.net/sprites/shiny/0020-f.png,
25,spearow,Spearow,,,Spearow,,0021,TRUE,FALSE,TRUE,Kanto,1,1,25,5,1,TRUE,https://pokejungle.net/sprites/shiny/0021.png,
26,fearow,Fearow,,,Spearow,,0022,TRUE,FALSE,TRUE,Kanto,1,1,26,5,2,TRUE,https://pokejungle.net/sprites/shiny/0022.png,
27,ekans,Ekans,,,Ekans,,0023,TRUE,FALSE,TRUE,Kanto,1,1,27,5,3,TRUE,https://pokejungle.net/sprites/shiny/0023.png,
28,arbok,Arbok,,,Ekans,,0024,TRUE,FALSE,TRUE,Kanto,1,1,28,5,4,TRUE,https://pokejungle.net/sprites/shiny/0024.png,
29,pikachu-male,Pikachu,Male,1,Pichu,,0025,TRUE,FALSE,TRUE,Kanto,1,1,29,5,5,TRUE,https://pokejungle.net/sprites/shiny/0025.png,
30,pikachu-female,Pikachu,Female,2,Pichu,,0025,TRUE,FALSE,TRUE,Kanto,1,1,30,5,6,TRUE,https://pokejungle.net/sprites/shiny/0025-f.png,
31,pikachu-partner-cap,Pikachu,Partner Cap,9,Pichu,,0025,FALSE,FALSE,TRUE,Kanto,1,2,1,1,1,TRUE,https://pokejungle.net/sprites/shiny/0025-7.png,
